p1 | 10451 | 63.42256712913513
p2 | 9041 | 63.991029024124146
p3 | 10789 | 64.08039093017578
p4 | 12468 | 64.24821186065674
p5 | 10225 | 64.35905170440674
p6 | 9316 | 64.58812642097473
p7 | 11255 | 63.81314730644226
p8 | 13251 | 64.08636403083801
p9 | 9959 | 63.463923931121826
p10 | 9041 | 63.93408465385437
p11 | 10819 | 63.173988342285156
p12 | 12190 | 63.76973271369934
p13 | 10037 | 87.02251529693604
p14 | 8685 | 86.29044270515442
p15 | 10805 | 87.90806317329407
p16 | 13480 | 86.92353415489197
p17 | 10906 | 87.10487103462219
p18 | 9273 | 86.4708640575409
p19 | 11805 | 86.82995367050171
p20 | 12847 | 86.3259072303772
p21 | 9961 | 86.8097972869873
p22 | 8537 | 86.14498782157898
p23 | 10675 | 86.90970730781555
p24 | 13889 | 87.34621858596802
p25 | 26437 | 277.35814094543457
p26 | 21489 | 276.61589097976685
p27 | 27419 | 279.4432923793793
p28 | 31142 | 280.05359268188477
p29 | 25288 | 276.7519109249115
p30 | 22977 | 276.8554701805115
p31 | 28535 | 275.8449127674103
p32 | 31821 | 276.8053057193756
p33 | 23355 | 277.99702167510986
p34 | 21868 | 280.23618841171265
p35 | 26578 | 276.49106669425964
p36 | 29414 | 277.04224133491516
p37 | 24257 | 277.4891242980957
p38 | 21272 | 276.6586000919342
p39 | 27718 | 275.9295403957367
p40 | 31310 | 276.8130886554718
p41 | 9043 | 106.22462248802185
p42 | 8427 | 127.6492612361908
p43 | 9948 | 141.2876648902893
p44 | 12111 | 107.36545276641846
p45 | 10941 | 128.62168717384338
p46 | 10044 | 143.89755868911743
p47 | 13413 | 106.9976007938385
p48 | 12388 | 129.03664755821228
p49 | 10556 | 142.55706238746643
p50 | 9860 | 117.27744889259338
p51 | 11081 | 154.9569342136383
p52 | 15365 | 117.19056272506714
p53 | 14923 | 153.80654573440552
p54 | 14978 | 117.2540066242218
p55 | 12983 | 154.7287163734436
p56 | 44731 | 357.72915410995483
p57 | 50573 | 361.7787277698517
p58 | 71620 | 358.2466194629669
p59 | 58071 | 361.2413468360901
p60 | 43354 | 360.28113627433777
p61 | 52477 | 359.20392537117004
p62 | 69820 | 358.77491211891174
p63 | 57686 | 358.3693161010742
p64 | 42872 | 359.2294592857361
p65 | 52254 | 358.9479868412018
p66 | 71268 | 358.4498915672302
p67 | 54704 | 355.72676730155945
p68 | 44327 | 358.74406695365906
p69 | 53424 | 364.30223989486694
p70 | 70881 | 359.29450249671936
p71 | 58043 | 358.8349528312683
